P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA	Col	BH	Col2
T181_Jobson_3075	TTPH	T119_Jobson_1758	0.0728849	13.3658	0	0.0534529	180577	176505	152524	darksalmon	0	black
T181_Jobson_3075	TTPH	T135_Jobson_2311	0.063608	12.366	0	0.0412461	182681	174660	153769	darksalmon	0	black
T181_Jobson_3075	TTPH	T134_Jobson_2280	0.0578656	10.9695	0	0.0397372	180855	172604	153721	darksalmon	0	black
T186_Jobson_3092	TTPH	T119_Jobson_1758	0.0795387	14.5987	0	0.05709	179877	174598	148870	darksalmon	0	black
T186_Jobson_3092	TTPH	T135_Jobson_2311	0.0704966	12.9759	0	0.0447594	181971	172744	149992	darksalmon	0	black
T186_Jobson_3092	TTPH	T134_Jobson_2280	0.0645077	12.0947	0	0.0434995	180204	170746	150052	darksalmon	0	black
T201_Jobson_3204	TTPH	T119_Jobson_1758	0.0636815	14.4138	0	0.0444473	206768	165190	145410	darksalmon	0	black
T201_Jobson_3204	TTPH	T135_Jobson_2311	0.0544545	12.7087	0	0.0335791	209021	163495	146608	darksalmon	0	black
T201_Jobson_3204	TTPH	T134_Jobson_2280	0.0494709	11.3561	0	0.0323564	207328	161570	146338	darksalmon	0	black
T203_Jobson_3212	TTPH	T119_Jobson_1758	0.0658564	14.4391	0	0.0465144	202348	167662	146943	darksalmon	0	black
T203_Jobson_3212	TTPH	T135_Jobson_2311	0.0565117	12.7668	0	0.03524	204549	165915	148166	darksalmon	0	black
T203_Jobson_3212	TTPH	T134_Jobson_2280	0.0509234	11.2373	0	0.0336299	202754	163889	148006	darksalmon	0	black
T284_Jobson_3508	TTPH	T119_Jobson_1758	0.0664954	13.4362	0	0.0486413	185121	174152	152436	darksalmon	0	black
T284_Jobson_3508	TTPH	T135_Jobson_2311	0.0573421	11.2662	0	0.0371008	187292	172375	153678	darksalmon	0	black
T284_Jobson_3508	TTPH	T134_Jobson_2280	0.0525828	10.5661	0	0.0359906	185562	170413	153387	darksalmon	0	black
T429_Jobson_1522	TTPH	T119_Jobson_1758	0.0754413	15.273	0	0.0542371	188505	173639	149278	darksalmon	0	black
T429_Jobson_1522	TTPH	T135_Jobson_2311	0.0659411	14.0354	0	0.0419655	190617	171802	150546	darksalmon	0	black
T429_Jobson_1522	TTPH	T134_Jobson_2280	0.0607174	12.2123	0	0.0409614	188855	169810	150370	darksalmon	0	black
T477_Jobson_3057	TTPH	T119_Jobson_1758	0.0745214	14.7407	0	0.0543334	182735	176067	151645	darksalmon	0	black
T477_Jobson_3057	TTPH	T135_Jobson_2311	0.0645421	12.6572	0	0.0416618	184742	174125	153011	darksalmon	0	black
T477_Jobson_3057	TTPH	T134_Jobson_2280	0.0589609	11.6939	0	0.0403651	182949	172102	152937	darksalmon	0	black
T480_Jobson_3060	TTPH	T119_Jobson_1758	0.077587	14.2199	0	0.0561552	179820	175461	150195	darksalmon	0	black
T480_Jobson_3060	TTPH	T135_Jobson_2311	0.0680668	12.446	0	0.043476	181870	173563	151441	darksalmon	0	black
T480_Jobson_3060	TTPH	T134_Jobson_2280	0.0622061	11.4503	0	0.0421616	180115	171577	151481	darksalmon	0	black
T481_Jobson_3061	TTPH	T119_Jobson_1758	0.0803779	14.3194	0	0.0571775	182801	173327	147537	darksalmon	0	black
T481_Jobson_3061	TTPH	T135_Jobson_2311	0.0712905	12.8965	0	0.0448834	184915	171492	148668	darksalmon	0	black
T481_Jobson_3061	TTPH	T134_Jobson_2280	0.0650636	11.713	0	0.0434217	183083	169430	148729	darksalmon	0	black
T488_Jobson_3088	TTPH	T119_Jobson_1758	0.0762761	14.47	0	0.0554099	181166	175318	150468	darksalmon	0	black
T488_Jobson_3088	TTPH	T135_Jobson_2311	0.0676169	12.8398	0	0.0432665	183319	173523	151543	darksalmon	0	black
T488_Jobson_3088	TTPH	T134_Jobson_2280	0.0611216	11.68	0	0.0415304	181425	171398	151653	darksalmon	0	black
T492_Jobson_3105	TTPH	T119_Jobson_1758	0.0725385	13.801	0	0.0531474	183400	176143	152317	darksalmon	0	black
T492_Jobson_3105	TTPH	T135_Jobson_2311	0.0627261	12.3837	0	0.0406652	185451	174245	153676	darksalmon	0	black
T492_Jobson_3105	TTPH	T134_Jobson_2280	0.0577091	11.5452	0	0.0395231	183683	172247	153451	darksalmon	0	black
T509_Jobson_3477	TTPH	T119_Jobson_1758	0.068691	13.76	0	0.0496087	186649	172477	150305	darksalmon	0	black
T509_Jobson_3477	TTPH	T135_Jobson_2311	0.0594076	11.9433	0	0.0379707	188769	170649	151510	darksalmon	0	black
T509_Jobson_3477	TTPH	T134_Jobson_2280	0.0542206	11.0173	0	0.0366841	187020	168669	151319	darksalmon	0	black
T512_Jobson_3493	TTPH	T119_Jobson_1758	0.0733894	13.9254	0	0.0524655	186987	171995	148475	darksalmon	0	black
T512_Jobson_3493	TTPH	T135_Jobson_2311	0.064149	12.2242	0	0.0404832	189127	170186	149668	darksalmon	0	black
T512_Jobson_3493	TTPH	T134_Jobson_2280	0.0595477	11.5508	0	0.0397477	187454	168283	149367	darksalmon	0	black
T518_Jobson_3534	TTPH	T119_Jobson_1758	0.0650251	13.7145	0	0.0474865	190115	173370	152200	darksalmon	0	black
T518_Jobson_3534	TTPH	T135_Jobson_2311	0.0561152	11.859	0	0.0361457	192383	171689	153444	darksalmon	0	black
T518_Jobson_3534	TTPH	T134_Jobson_2280	0.0513683	10.7388	0	0.0350738	190633	169708	153125	darksalmon	0	black
T519_Jobson_1901	TTPH	T119_Jobson_1758	0.0896075	15.543	0	0.060355	186682	165901	138615	darksalmon	0	black
T519_Jobson_1901	TTPH	T135_Jobson_2311	0.0806854	14.3749	0	0.0480077	188840	164111	139605	darksalmon	0	black
T519_Jobson_1901	TTPH	T134_Jobson_2280	0.0728111	12.3407	0	0.0459427	186928	161969	139983	darksalmon	0	black
T520_Jobson_1910	TTPH	T119_Jobson_1758	0.068791	13.155	0	0.0485696	198470	168556	146858	darksalmon	0	black
T520_Jobson_1910	TTPH	T135_Jobson_2311	0.0590718	12.1284	0	0.0369252	200533	166670	148077	darksalmon	0	black
T520_Jobson_1910	TTPH	T134_Jobson_2280	0.0547295	10.4044	0	0.0361754	198938	164844	147737	darksalmon	0	black
T577_Murdock_1293	TTPH	T135_Jobson_2311	0.0735351	14.0323	0	0.0477087	180355	177799	153441	darksalmon	0	black
T577_Murdock_1293	TTPH	T134_Jobson_2280	0.0672969	12.4567	0	0.0463177	178493	175706	153548	darksalmon	0	black
T580_Jobson_3903	TTPH	T119_Jobson_1758	0.0668547	13.2283	0	0.0501565	180088	179213	156752	darksalmon	0	black
T580_Jobson_3903	TTPH	T135_Jobson_2311	0.0570634	11.2382	0	0.037906	182119	177295	158153	darksalmon	0	black
T580_Jobson_3903	TTPH	T134_Jobson_2280	0.0527614	10.5694	0	0.0371433	180446	175392	157812	darksalmon	0	black
The-PA6	TTPH	T119_Jobson_1758	0.0874097	14.4816	0	0.0579346	197372	162296	136204	darksalmon	0	black
The-PA6	TTPH	T135_Jobson_2311	0.0778289	13.2226	0	0.0455816	199490	160465	137291	darksalmon	0	black
The-PA6	TTPH	T134_Jobson_2280	0.0710174	11.5263	0	0.0440631	197659	158405	137398	darksalmon	0	black
Themeda_triandra_Australia_PMxPetersonx14430	TTPH	T119_Jobson_1758	0.103024	16.1565	0	0.0686679	176127	167718	136388	darksalmon	0	black
Themeda_triandra_Australia_PMxPetersonx14430	TTPH	T135_Jobson_2311	0.09441	14.8148	0	0.0555704	178242	165885	137265	darksalmon	0	black
Themeda_triandra_Australia_PMxPetersonx14430	TTPH	T134_Jobson_2280	0.0860054	13.4145	0	0.0537641	176312	163725	137792	darksalmon	0	black

